Modelo,Tratamento,NNDR
AE,A,0.7891510363756836
AE,A,0.36038890433331244
AE,A,0.19782296129475738
AE,A,0.07922287540365545
AE,A,0.02983210863403694
AE,A,0.0288774142581616
AE,A,0.13412159206927754
AE,A,0.07280356442287429
AE,A,0.21242448997589222
AE,A,0.3537960600940551
AE,A,0.08289337445691293
AE,A,0.10616576171121195
AE,A,0.14736702756420447
AE,A,0.056036612115476836
AE,A,0.09341654218973607
AE,A,0.20627176113390636
AE,A,0.08373224992218443
AE,A,0.054907410724710316
AE,A,0.08112510421838925
AE,A,0.05908844456064585
AE,A,0.04791920424972071
AE,A,0.4908387360278452
AE,A,0.014835318748753537
AE,A,0.07477709247119364
AE,A,0.10988609975184718
AE,A,0.6659215284934951
AE,A,0.07291491202753368
AE,A,0.060529178325694946
AE,A,0.11162560783783441
AE,A,0.007705188429693145
AE,A,0.10466976611401474
AE,A,0.045898227527380146
AE,A,0.09483646900235589
AE,A,0.03861791745527412
AE,A,0.04872168590978523
AE,A,0.34854686817922603
AE,A,0.029457850089395204
AE,A,0.7081757134841971
AE,A,0.33713868628087046
AE,A,0.06433066333137942
AE,A,0.3505827758125102
AE,A,0.9538377130110943
AE,A,0.12862114386153164
AE,A,0.05263038830577781
AE,A,0.0677566694411903
AE,A,0.07099287014214575
AE,A,0.144344394246199
AE,A,0.19032346493804345
AE,A,0.06550131493124711
AE,A,0.06836144750490329
AE,A,0.1882299030199775
AE,A,0.2488193457950582
AE,A,0.0074308947719290645
AE,A,0.5356328683032212
AE,A,0.07819080720724575
AE,A,0.13566219375766617
AE,A,0.1415672137278558
AE,A,0.02731201633827224
AE,A,0.059844992268206255
AE,A,0.24751422097899273
AE,A,0.0925410644627891
AE,A,0.22278979316508807
AE,A,0.13750640119829596
AE,A,0.11210442050117603
AE,A,0.08108727263498418
AE,A,0.020897996134383156
AE,A,0.12332217941798115
AE,A,0.2291422486406209
AE,A,0.17723841996603432
AE,A,0.15865318541665088
AE,A,0.04396060994177514
AE,A,0.2213341141637253
AE,A,0.06964925235989254
AE,A,0.05571350356009403
AE,A,0.06483246199756384
AE,A,0.1928144110194222
AE,A,0.057584972565495676
AE,A,0.790834632418208
AE,A,0.26683364519228736
AE,A,0.528067151091874
AE,A,0.18618946584911128
AE,A,0.2623404697428981
AE,A,0.16159427788526007
AE,A,0.6019297266247415
AE,A,0.08091550633008
AE,A,0.11627459020164185
AE,A,0.23599468906518717
AE,A,0.1237623368668082
AE,A,0.13761317528754585
AE,A,0.2238134993762474
AE,A,0.24223763735894593
AE,A,0.40723874047809944
AE,A,0.14576882836176908
AE,A,0.15219247956466056
AE,A,0.10332535695423267
AE,A,0.07304689408705702
AE,A,0.10424686642927843
AE,A,0.08755545602321996
AE,A,0.11401361057452561
AE,A,0.12351200419682302
AE,A,0.5654322794395522
AE,A,0.08628309482832754
AE,A,0.07035421054664616
AE,A,0.15414471603035723
AE,A,0.3386617611427874
AE,A,0.038258708260723806
AE,A,0.09310124188791816
AE,A,0.07744613995383992
AE,A,0.019105925014540198
AE,A,0.19766055115933906
AE,A,0.45761597430746515
AE,A,0.019542756393030346
AE,A,0.10602148447730722
AE,A,0.29112609425371505
AE,A,0.06156287882538033
AE,A,0.18254230859048645
AE,A,0.021943564249774384
AE,A,0.09451690954597587
AE,A,0.20793198355270648
AE,A,0.00768286492706047
AE,A,0.0940082426089284
AE,A,0.009474167017833036
AE,A,0.18590265700800007
AE,A,0.12309969141628714
